epoch,train_loss,val_loss,precision,recall,iou
0,1.0080880554098832,0.7429172694683075,0.7078720927238464,0.484982892870903,0.3926880806684494
1,0.8830879016926414,0.7487584352493286,0.7643710076808929,0.5530801713466644,0.4602869004011154
2,0.7697848536466297,0.7957836389541626,0.8106926083564758,0.46346403658390045,0.36371682584285736
3,0.6475181109026859,0.8390881419181824,0.7431335151195526,0.5440357625484467,0.40557457506656647
4,0.6363094966662558,0.6751466393470764,0.7658710777759552,0.6354213058948517,0.520609900355339
5,0.5820971178381067,0.6185634434223175,0.8110412061214447,0.6405626833438873,0.5341812372207642
6,0.5663618100316901,0.5750874429941177,0.8172018527984619,0.6735847890377045,0.5920422375202179
7,0.5875488833377236,0.46611954271793365,0.7696543335914612,0.8092308044433594,0.6646815836429596
8,0.5614516107659591,0.7147391736507416,0.7968277335166931,0.5954389274120331,0.5141704082489014
9,0.5631513548524756,0.7358019649982452,0.6140685379505157,0.6742189824581146,0.46050116419792175
10,0.5461275059925882,0.7643273174762726,0.8050441443920135,0.5053658485412598,0.4459686279296875
11,0.5606293599856528,0.5882785469293594,0.8294329345226288,0.7026621401309967,0.6168884634971619
12,0.5284620586194491,0.6791052222251892,0.6637197732925415,0.7000935077667236,0.5133311599493027
13,0.5261988561404379,0.6495794355869293,0.6980111002922058,0.6019979566335678,0.48918890953063965
14,0.4971720215521361,0.542923092842102,0.8325365483760834,0.6810535788536072,0.5978572070598602
15,0.512366668958413,0.534265011548996,0.8008846044540405,0.7608511745929718,0.6415227651596069
16,0.5246472829266599,0.670073390007019,0.6802510321140289,0.5933806747198105,0.46843260526657104
17,0.5269274805721483,0.6905128359794617,0.7725863754749298,0.6098529994487762,0.5197954475879669
18,0.49969338586455897,0.7165347337722778,0.6596702039241791,0.6100150346755981,0.4766325205564499
19,0.5016499624440545,0.48027268052101135,0.7815657258033752,0.7830827534198761,0.6486691832542419
20,0.4965993275767879,0.7141055166721344,0.591855064034462,0.6864202320575714,0.46978408098220825
21,0.5178250764545641,0.49329500645399094,0.7702361047267914,0.7835297286510468,0.639488935470581
22,0.5012105703353882,0.6712471544742584,0.7145803868770599,0.6541509628295898,0.5216208845376968
23,0.49536348800910146,0.6970115602016449,0.6294348835945129,0.749527245759964,0.5110956728458405
24,0.4982474461982125,0.5600867867469788,0.7957325577735901,0.726673036813736,0.6168859004974365
